# c-balanced sequence
# n=83
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
63,31,10,76,1,53,27,17,21,6,22,73,16,61,7,82,46,42,49,71,64,2,38,13,74,81,47,28,20,83,62,59,37,56,12,68,15,80,43,18,35,69,72,33,3,26,78,66,51,29,39,41,67,44,36,79,48,55,4,70,19,32,75,65,8,11,52,24,9,25,30,77,40,58,14,23,5,45,50,60,34,57,54
62,8,49,52,12,40,55,38,7,43,54,60,4,47,23,65,56,30,16,29,34,57,72,26,39,70,5,78,14,58,33,44,24,67,1,69,45,19,63,32,75,36,21,25,77,59,79,11,9,22,83,46,74,68,51,64,50,73,53,3,35,42,13,81,18,76,37,41,15,71,20,66,27,28,2,6,31,17,61,10,80,48,82
65,35,51,15,59,73,34,50,82,74,24,13,9,26,28,75,37,18,76,14,61,69,68,41,66,80,6,10,72,32,22,4,42,3,11,27,54,77,31,30,56,25,38,57,43,48,71,52,53,20,2,23,49,58,40,17,16,46,60,55,21,47,7,39,45,63,5,29,83,67,62,8,78,1,79,70,44,19,12,36,64,81,33
64,5,45,2,29,32,79,39,19,77,11,1,33,81,25,55,35,66,63,70,50,20,46,31,51,3,34,60,40,36,71,21,57,7,48,78,17,10,13,14,23,41,52,37,8,76,28,15,83,82,73,42,26,18,62,9,54,12,44,74,30,69,67,61,43,59,58,6,80,47,27,49,56,24,38,53,75,65,4,72,22,68,16
69,17,4,19,36,30,56,58,45,60,20,27,53,71,44,6,54,73,78,21,43,75,48,83,22,8,79,67,59,76,74,82,23,18,49,29,47,16,68,9,11,12,61,80,64,31,62,5,81,70,3,40,72,1,10,24,65,39,33,26,57,63,15,28,51,38,50,14,13,32,34,55,2,46,7,52,35,42,37,41,25,66,77
66,38,46,3,83,80,26,62,12,57,41,40,15,58,18,72,67,10,53,47,68,37,32,55,24,16,63,43,52,25,7,39,81,61,28,33,51,82,4,65,42,44,50,34,1,2,74,45,36,49,77,75,27,13,35,6,14,71,56,11,5,22,29,54,78,48,9,79,21,70,17,64,30,31,19,76,60,8,23,59,69,20,73
78,16,14,31,47,74,61,48,28,9,71,70,76,13,42,22,49,52,8,12,17,77,11,35,45,23,64,56,50,73,41,65,75,30,54,2,67,59,79,40,66,5,20,60,46,7,6,29,19,69,37,80,21,24,32,81,43,34,38,27,1,36,33,25,58,10,44,53,4,72,18,82,3,55,68,83,51,62,26,57,63,15,39
68,9,29,64,63,82,6,42,2,78,33,37,51,34,39,80,24,81,36,4,19,25,59,10,62,15,76,1,5,27,13,70,53,69,44,55,38,32,21,26,20,22,48,17,16,58,72,18,50,67,57,30,60,3,47,52,83,8,77,23,56,12,31,66,46,73,74,40,43,49,41,7,45,65,35,61,54,11,28,79,14,71,75
77,21,43,44,46,75,23,49,59,56,3,72,5,11,69,1,31,20,79,60,38,58,7,65,30,57,83,36,51,19,28,8,14,68,66,40,53,26,27,62,10,63,35,15,39,55,9,73,54,41,71,25,48,76,16,61,45,70,80,64,4,18,78,24,2,22,17,82,52,37,81,13,42,33,34,50,67,74,47,32,29,12,6
81,18,22,71,8,41,7,67,55,50,48,25,65,35,52,26,45,82,64,27,28,39,61,2,54,49,73,29,17,6,46,77,12,47,37,79,70,74,58,34,83,24,43,78,51,33,32,14,4,31,63,13,53,66,11,15,59,76,5,42,72,10,20,69,16,75,60,23,56,19,68,57,62,44,36,1,38,40,80,30,3,21,9
57,36,30,40,16,14,60,20,10,66,15,23,24,54,83,62,12,5,80,32,74,13,44,56,18,42,9,33,4,69,75,31,35,52,22,72,76,1,6,81,73,3,26,19,47,68,82,77,21,28,38,17,29,2,67,27,58,78,41,37,65,39,79,50,34,49,70,63,51,48,61,11,71,25,45,43,7,59,64,8,53,55,46
72,32,47,37,13,21,33,51,34,25,68,63,29,3,79,70,53,74,75,55,40,78,6,1,43,41,59,61,12,45,11,50,48,80,39,60,57,56,71,46,64,7,8,81,65,38,17,23,30,10,36,22,69,42,31,44,4,82,14,9,49,83,62,52,19,35,15,28,76,26,5,54,73,77,66,27,2,16,20,18,67,58,24
73,11,1,38,4,17,24,54,76,70,26,43,77,50,27,63,28,19,44,15,30,14,23,21,67,58,46,2,62,16,64,83,5,71,9,20,66,18,41,45,80,49,32,42,52,61,13,59,75,12,74,35,8,79,55,53,3,51,7,34,25,68,40,6,29,81,31,57,22,33,65,39,60,47,72,82,36,69,48,78,56,10,37
79,33,27,53,61,18,57,65,69,52,39,42,2,22,76,48,51,3,7,31,67,8,71,47,37,40,82,35,81,10,34,72,78,15,19,21,43,49,36,29,58,60,75,66,24,50,70,55,56,68,44,6,59,20,63,25,30,62,54,73,16,46,74,77,17,12,64,45,11,1,38,14,23,26,41,32,80,9,83,5,13,4,28
59,12,6,35,10,5,31,73,46,58,80,49,45,56,36,41,16,29,69,62,9,82,34,60,17,20,13,8,37,68,47,55,38,74,25,4,11,30,28,33,67,77,79,14,23,83,44,57,40,78,15,64,54,65,39,7,72,18,52,48,50,71,3,26,32,1,2,61,66,42,24,51,76,81,75,21,22,53,63,70,19,43,27
83,24,7,75,54,78,44,32,11,35,62,82,55,64,66,9,38,72,77,57,26,70,81,53,50,52,14,48,42,3,63,2,27,16,41,65,23,22,61,25,39,1,18,73,69,5,34,49,43,76,51,4,28,56,80,21,36,31,19,47,45,8,60,37,33,13,71,59,46,58,79,67,20,10,12,30,29,15,6,68,40,74,17
60,20,58,39,65,71,25,30,14,17,21,28,19,67,68,15,4,23,1,42,56,18,66,64,72,38,74,22,53,80,9,29,76,45,13,63,7,12,54,51,16,59,62,40,6,10,37,46,79,26,24,81,43,70,41,57,33,2,32,61,75,11,82,48,5,36,55,8,27,44,83,50,69,52,78,3,73,77,34,35,31,49,47
74,19,28,34,49,81,37,8,4,5,61,6,59,10,40,47,43,50,46,48,51,33,79,63,75,26,32,71,24,15,56,17,36,82,73,31,83,52,44,2,57,13,27,45,29,12,64,42,3,1,7,11,9,78,77,60,68,20,67,66,53,76,23,55,41,54,18,30,69,35,80,21,70,22,16,58,14,25,39,65,38,72,62
76,2,80,66,23,77,68,13,16,36,12,31,7,30,20,21,61,58,54,22,41,45,3,27,78,69,25,65,70,49,18,60,33,32,62,5,35,37,53,19,55,82,71,56,11,63,67,48,39,72,47,52,34,50,38,75,26,29,28,15,24,64,9,57,4,14,83,73,10,6,40,43,74,17,59,8,46,79,81,51,42,1,44
