# c-balanced Latin square
# n=96
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
48,95,5,68,18,85,71,94,79,82,34,90,72,39,50,74,30,29,83,44,36,78,81,35,46,53,55,28,15,22,37,13,93,80,66,52,43,11,41,67,26,17,47,33,19,4,88,96,21,32,14,3,76,62,12,64,56,60,20,24,27,92,63,69,1,89,57,75,49,77,6,7,23,73,87,70,10,51,16,42,2,38,8,61,9,91,84,25,58,65,45,31,40,86,54,59
49,25,85,1,13,63,10,2,78,69,21,80,62,61,53,60,52,96,23,45,27,54,40,94,64,68,67,87,65,16,92,70,51,42,89,82,8,15,77,72,38,73,75,95,9,50,66,26,74,86,7,22,6,83,43,46,58,84,31,93,11,41,5,56,90,14,55,28,91,76,35,37,81,18,59,24,4,20,47,29,79,34,32,33,44,57,88,71,3,17,19,12,36,48,30,39
56,43,65,47,89,44,76,4,20,35,39,41,19,59,55,24,11,88,58,6,12,10,31,38,8,79,84,30,17,7,32,54,73,75,33,83,3,60,63,9,16,5,72,34,96,91,29,28,94,37,95,18,77,81,13,48,45,71,86,57,53,51,61,82,25,36,66,46,62,1,67,21,40,64,22,74,78,14,52,90,15,70,27,49,42,26,69,50,68,80,23,92,93,87,2,85
51,40,27,17,28,3,74,37,42,66,92,86,67,15,32,18,81,46,12,22,71,90,95,73,26,93,48,62,69,50,58,36,59,49,24,34,4,35,25,14,2,57,31,53,23,44,70,79,64,78,85,39,61,19,68,29,38,6,87,33,54,63,8,91,83,88,65,30,43,47,41,52,20,45,72,80,56,84,94,75,13,1,10,76,55,21,7,77,96,82,89,60,11,9,5,16
52,26,70,9,33,75,80,31,30,5,29,13,36,23,87,77,42,14,76,84,43,82,21,72,66,57,96,20,63,91,64,6,61,55,60,45,11,39,32,94,1,71,92,85,65,41,56,7,67,47,59,89,90,68,49,88,69,35,74,40,50,3,15,81,2,12,38,34,16,4,48,78,44,19,79,54,73,93,28,62,25,27,46,24,17,10,18,51,86,53,83,8,37,58,95,22
53,7,82,50,62,87,38,34,83,79,1,11,33,16,37,93,47,8,89,54,4,2,28,77,25,85,91,27,19,86,56,74,88,48,71,68,76,81,40,78,12,22,51,42,46,30,45,13,80,92,23,55,24,36,10,15,70,52,66,5,94,58,21,59,9,32,60,39,73,65,95,3,84,49,17,96,57,44,18,26,64,69,67,90,41,14,72,31,63,20,35,43,75,6,29,61
54,22,83,45,6,78,84,88,90,64,35,73,17,57,65,68,44,9,61,72,94,15,41,3,59,29,60,24,11,14,25,95,1,10,20,37,21,16,5,43,49,80,69,19,18,52,8,63,87,58,53,75,96,42,2,89,67,77,51,4,7,76,92,27,13,93,56,26,50,33,55,71,46,91,28,48,31,86,74,23,39,82,66,12,36,38,40,34,85,62,30,70,47,32,79,81
55,92,14,67,91,32,81,19,80,48,31,10,70,58,56,63,59,30,2,13,49,74,22,75,96,69,50,51,47,18,42,3,12,28,38,79,46,26,64,66,44,86,6,39,82,83,76,65,27,73,36,43,25,20,93,41,95,34,85,62,35,17,84,54,23,61,11,72,68,40,53,29,8,88,77,15,37,7,5,60,87,9,4,89,94,45,71,16,1,24,78,57,21,33,52,90
60,20,94,71,29,21,7,18,51,8,40,46,4,85,27,5,95,38,41,66,33,52,86,36,87,39,89,9,34,81,53,35,23,67,84,62,17,93,45,47,70,68,61,55,24,77,10,90,48,15,54,57,74,30,72,50,16,32,78,26,14,37,44,1,75,79,42,80,82,6,31,22,2,12,11,69,83,92,58,88,63,43,59,96,56,3,13,64,73,28,76,25,91,65,49,19
57,23,63,12,16,73,25,77,41,72,93,32,69,1,2,78,49,62,21,39,53,26,65,5,61,70,76,92,43,82,24,88,40,90,96,9,6,91,58,7,33,13,35,56,4,75,3,71,11,29,31,84,46,28,83,79,22,37,17,18,60,47,10,52,95,19,30,51,59,64,94,27,45,34,66,89,36,85,55,48,20,44,86,54,81,80,8,68,14,87,74,15,38,42,50,67
58,36,28,11,55,42,43,95,52,24,75,45,74,54,3,34,19,50,60,64,17,80,68,88,15,86,37,44,22,56,38,79,83,78,69,30,73,27,82,31,59,48,94,66,89,81,49,20,1,14,16,5,87,33,9,4,25,12,8,91,65,71,67,62,85,6,70,90,18,96,57,72,63,93,13,47,53,32,41,76,40,21,61,29,2,92,35,23,39,77,7,10,46,84,26,51
90,10,76,64,67,72,44,61,46,89,15,37,26,91,96,13,35,79,40,93,47,18,48,6,34,14,23,57,31,45,8,94,52,29,2,7,92,50,65,36,85,54,87,74,62,84,32,17,12,60,51,21,69,63,80,55,53,78,49,39,16,19,43,77,28,41,20,24,86,81,9,38,5,1,42,33,25,30,11,3,83,68,95,4,75,58,66,70,88,22,82,56,73,71,59,27
59,30,8,39,9,24,33,68,27,58,56,22,66,47,20,84,4,28,87,1,10,25,19,83,16,81,71,80,12,85,46,51,5,77,70,89,75,74,88,41,57,63,11,38,21,67,40,43,93,95,42,2,86,23,44,26,90,3,15,82,13,34,73,96,14,76,64,29,92,69,7,54,50,32,49,61,35,91,6,79,60,45,31,65,52,48,55,78,94,37,72,53,17,62,36,18
29,6,81,86,77,69,17,96,65,36,49,14,76,53,51,82,31,73,92,43,37,7,35,20,42,54,62,32,4,55,90,27,21,72,63,95,15,13,18,8,71,79,3,60,25,47,59,85,91,52,45,50,64,78,48,66,61,30,68,56,23,46,38,80,87,40,94,58,84,88,83,89,70,10,67,26,75,12,22,19,93,39,74,16,57,2,33,11,5,9,1,44,34,24,28,41
62,13,84,66,48,38,5,12,3,23,2,60,44,50,94,83,71,52,56,75,55,70,91,30,78,40,53,11,93,10,67,33,41,57,39,31,1,86,61,34,29,26,32,37,16,76,28,19,72,88,9,92,58,82,27,18,7,59,73,45,22,36,42,24,49,4,74,25,14,35,17,90,68,81,43,21,8,65,95,64,77,85,6,51,20,87,79,96,46,89,54,47,15,69,80,63
61,34,16,88,63,74,26,75,70,57,90,18,59,79,7,22,25,80,48,85,11,8,89,67,17,95,77,73,41,58,76,68,65,87,49,14,36,54,51,19,4,20,64,15,28,5,6,53,46,33,10,24,38,35,94,47,96,1,92,81,9,55,69,2,86,21,44,62,37,45,60,39,56,30,52,3,23,82,27,78,72,50,71,42,29,84,43,91,32,83,13,93,66,31,40,12
